,title,URL,Category,Goal,Total raised,Pct Original Goal,successful
30,Shower Up,https://www.crowdfunder.co.uk/shower-up,Community,49780.58252427185,51274,103.0,True
31,Bon Scott Statue Kirriemuir,https://www.crowdfunder.co.uk/bonscottstatue,Community,44848.67256637168,50679,113.0,True
32,1st Mixed Ability Rugby World Tournament,https://www.crowdfunder.co.uk/1st-mixed-ability-rugby-world-tournament,Community,50236.0,50236,100.0,True
33,IBDrelief,https://www.crowdfunder.co.uk/ibdrelief,Community,50064.0,50064,100.0,True
34,STREET FACTORY #UnitedWeStand,https://www.crowdfunder.co.uk/street-factory-unitedwestand,Community,44889.42307692308,46685,104.0,True
35,GREEN AND STONE HAS TO MOVE,https://www.crowdfunder.co.uk/greenandstone,Community,100360.0,45162,45.0,False
36,Expand Cycling Without Age across Scotland,https://www.crowdfunder.co.uk/cycling-without-age-scotland,Community,9998.16091954023,43492,435.0,True
37,Build a community cinema at the Star & Shadow,https://www.crowdfunder.co.uk/starandshadow,Community,50143.37349397591,41619,83.0,False
38,FoodWorks 2,https://www.crowdfunder.co.uk/foodworks2,Community,40165.346534653465,40567,101.0,True
39,FoodWorks,https://www.crowdfunder.co.uk/foodworks,Community,39920.792079207924,40320,101.0,True
40,Devonport Sport For All,https://www.crowdfunder.co.uk/devonport-sport-for-all,Community,40073.0,40073,100.0,True
41,Campervan Brewery Community Taproom,https://www.crowdfunder.co.uk/campervan-brewery-community-taproom,Community,29955.725190839694,39242,131.0,True
42,Bring Gobi Home,https://www.crowdfunder.co.uk/bring-gobi-home,Community,4997.389033942559,38280,766.0,True
43,Awesome Energy Hydro Share Offer,https://www.crowdfunder.co.uk/awesome-energy-hydro,Community,476250.0,38100,8.0,False
44,A Space for Young People to Create Their Futures,https://www.crowdfunder.co.uk/bottega-rooms,Community,27015.714285714283,37822,140.0,True
45,2017: Plymouth Airport's Defining Year ✈,https://www.crowdfunder.co.uk/flyplymouth2017,Community,25008.965517241377,36263,145.0,True
46,#OwnOurEnergy - ACE  Pioneer Community Share Offer,https://www.crowdfunder.co.uk/avalon-community-energy,Community,150208.3333333333,36050,24.0,False
47,Education Through Expeditions (ETE),https://www.crowdfunder.co.uk/ete,Community,35025.490196078434,35726,102.0,True
48,"BLOODHOUND - Inspiring a generation at 1,000mph",https://www.crowdfunder.co.uk/bloodhound,Community,99302.85714285714,34756,35.0,False
49,INCLUSIVE POP-UP BOOKSHOPS IN THE UK AND IRELAND,https://www.crowdfunder.co.uk/readtheonepercent,Community,29885.964912280702,34070,114.0,True
50,Let's factcheck the election!,https://www.crowdfunder.co.uk/lets-factcheck-the-election,Community,25071.21212121212,33094,132.0,True
51,Websters - A New Glasgow Theatre,https://www.crowdfunder.co.uk/websters-a-new-glasgow-theatre,Community,25046.511627906977,32310,129.0,True
52,Boulder Shack Climbing Gym,https://www.crowdfunder.co.uk/boulder-shack-climbing-gym,Community,19941.358024691355,32305,162.0,True
53,Help fix our broken assisted dying law,https://www.crowdfunder.co.uk/dignityindying,Community,10007.348242811502,31323,313.0,True
54,The Cornish Embassy,https://www.crowdfunder.co.uk/the-cornish-embassy,Community,30019.23076923077,31220,104.0,True
55,Building a Union of Co-op Bank Customers,https://www.crowdfunder.co.uk/building-a-union-of-coop-bank-customers,Community,15031.06796116505,30964,206.0,True
56,Beyond Wigan Pier,https://www.crowdfunder.co.uk/beyond-wigan-pier-1,Community,25008.196721311477,30510,122.0,True
57,The Christmas Dinners 2018,https://www.crowdfunder.co.uk/the-christmas-dinners-2018,Community,30024.752475247526,30325,101.0,True
58,EartH (Evolutionary Arts Hackney),https://www.crowdfunder.co.uk/earth-studios,Community,39822.36842105263,30265,76.0,False
59,Victoria Park Community Building,https://www.crowdfunder.co.uk/fovps,Community,22556.39097744361,30000,133.0,True
60,Museum of Happiness!,https://www.crowdfunder.co.uk/museumofhappiness,Community,25034.51327433628,28289,113.0,True
61,People's Convoy:  Children's Hospital for Aleppo,https://www.crowdfunder.co.uk/convoy-for-childrens-hospital-in-aleppo,Community,9998.576512455516,28096,281.0,True
62,GROW a Future for Families,https://www.crowdfunder.co.uk/growafuture,Community,14983.957219251337,28020,187.0,True
63,"Invest in Community Solar at Caversham, Camden",https://www.crowdfunder.co.uk/punl-cgp,Community,28000.0,28000,100.0,True
64,"Community Kitchen for Brighton & Hove, and beyond!",https://www.crowdfunder.co.uk/community-kitchen-btn,Community,19930.656934306568,27305,137.0,True
65,SAVE Edinburgh Central Library,https://www.crowdfunder.co.uk/save-edinburgh-central-library,Community,27012.871287128713,27283,101.0,True
66,Swimming for the Future of Moseley Road Baths,https://www.crowdfunder.co.uk/swimming-for-the-future-of-moseley-road-baths,Community,13517.857142857141,26495,196.0,True
67,Women's Physic Garden,https://www.crowdfunder.co.uk/idlewomen-physic-garden,Community,24962.264150943396,26460,106.0,True
68,The Big Lemon Solar Bus Project,https://www.crowdfunder.co.uk/the-big-lemon-solar-bus-project,Community,12475.84541062802,25825,207.0,True
69,Imps motorcycle display team Charity for children,https://www.crowdfunder.co.uk/imps-motocycle-display-team-for-young-children,Community,15975.625,25561,160.0,True
70,Tamed - turn flood defences into works of art!,https://www.crowdfunder.co.uk/tamed-an-urban-arts-project-1,Community,50019.60784313725,25510,51.0,False
71,"""Steve Burr had a Dream...""",https://www.crowdfunder.co.uk/ChesterFC,Community,19921.875,25500,128.0,True
72,Goldfinger Factory Turns Waste into Gold,https://www.crowdfunder.co.uk/fundfuturefactory,Community,19965.853658536584,24558,123.0,True
73,Build it Together - Fordhall Straw Bale Bunkhouse,https://www.crowdfunder.co.uk/fordhallfarm,Community,29900.0,23920,80.0,False
74,Stoneham Bakehouse Community Supported Bakery,https://www.crowdfunder.co.uk/stonehambakehouse,Community,20064.102564102563,23475,117.0,True
75,Save The Nightshelter,https://www.crowdfunder.co.uk/savethenightshelter,Community,21088.181818181816,23197,110.0,True
76,Help Dumfries Buy Back Its High Street!,https://www.crowdfunder.co.uk/midsteeple-quarter,Community,29983.116883116883,23087,77.0,False
77,#CampaignForFemaleRights,https://www.crowdfunder.co.uk/the-campaign-to-save-sex-based-rights,Community,9978.260869565218,22950,230.0,True
78,55 East - East Street Community Enterprise Hub,https://www.crowdfunder.co.uk/55east,Community,19930.973451327434,22522,113.0,True
79,Whitstable Christmas Lights 2017,https://www.crowdfunder.co.uk/whitstable-christmas-lights-2017,Community,22058.823529411766,22500,102.0,True
80,Stepney City Farm,https://www.crowdfunder.co.uk/stepneycityfarm,Community,14979.865771812081,22320,149.0,True
81,The Eco Larder needs a home in Edinburgh,https://www.crowdfunder.co.uk/the-eco-larder-needs-a-home-in-edinburgh,Community,20004.504504504504,22205,111.0,True
82,The Magic Hat Cafe,https://www.crowdfunder.co.uk/the-magic-hat-cafe,Community,20081.81818181818,22090,110.0,True
83,Raise the Volume,https://www.crowdfunder.co.uk/raise-the-volume,Community,20000.0,21800,109.0,True
84,FlyPlymouth  Airport Reopening Project,https://www.crowdfunder.co.uk/flyplymouthairport-reopening-project,Community,10009.767441860466,21521,215.0,True
85,Collings Park Trust,https://www.crowdfunder.co.uk/collings-park-trust,Community,19981.308411214955,21380,107.0,True
86,#InvestInHappy,https://www.crowdfunder.co.uk/investinhappy,Community,19958.490566037737,21156,106.0,True
87,The Festival of Code,https://www.crowdfunder.co.uk/the-festival-of-code,Community,19924.528301886792,21120,106.0,True
88,TimePeace: refugees & locals free skill swap,https://www.crowdfunder.co.uk/timepeaceapp,Community,20000.0,20800,104.0,True
89,Dear White People UK,https://www.crowdfunder.co.uk/dear-white-people,Community,2999.421965317919,20756,692.0,True
90,Stone Community Hub,https://www.crowdfunder.co.uk/stonecommunityhub,Community,19941.747572815537,20540,103.0,True
91,A NEW HOME FOR PLYMOUTH ARTS CENTRE’S CINEMA,https://www.crowdfunder.co.uk/a-new-home-for-plymouth-cinema,Community,19918.44660194175,20516,103.0,True
92,Justice for Luke,https://www.crowdfunder.co.uk/justice-for-luke-holland,Community,20091.176470588234,20493,102.0,True
93,Defend the tree defenders: Stump Up,https://www.crowdfunder.co.uk/stump-up-sheffield,Community,26934.210526315794,20470,76.0,False
94,999 Club #SummerShelter Appeal,https://www.crowdfunder.co.uk/summershelter,Community,20053.92156862745,20455,102.0,True
95,Ensuring the growing at Growhampton can continue,https://www.crowdfunder.co.uk/growhampton,Community,19913.725490196077,20312,102.0,True
96,Bring home our boy home,https://www.crowdfunder.co.uk/bring-home-our-boy-home,Community,9995.073891625616,20290,203.0,True
97,FRE Flyers Inner City Hockey,https://www.crowdfunder.co.uk/fre-flyers-inner-city-hockey,Community,20074.257425742573,20275,101.0,True
98,Feed the local need with longer café hours,https://www.crowdfunder.co.uk/mix,Community,20016.83168316832,20217,101.0,True
99,Permission to Smile campaign,https://www.crowdfunder.co.uk/permission-to-smile-campaign,Community,19931.68316831683,20131,101.0,True
100,Support Cultivate Online,https://www.crowdfunder.co.uk/support-cultivate,Community,20088.0,20088,100.0,True
101,Chocolate Worx,https://www.crowdfunder.co.uk/the-worx,Community,20061.0,20061,100.0,True
102,GMEET: new way for gay people & friends to connect,https://www.crowdfunder.co.uk/gmeet-social-local-gay-friends,Community,20010.0,20010,100.0,True
103,The NAF Make Space,https://www.crowdfunder.co.uk/northfieldartsforum,Community,20000.0,20000,100.0,True
104,Helping Hands Food Bank,https://www.crowdfunder.co.uk/helping-hands-food-bank,Community,16508.474576271186,19480,118.0,True
105,LOOE SAVES THE DAY,https://www.crowdfunder.co.uk/looe-saves-the-day,Community,29826.5625,19089,64.0,False
106,Neath Community Christmas,https://www.crowdfunder.co.uk/neath-community-christmas,Community,11017.857142857143,18510,168.0,True
107,Save The Orchard Project Community Cider Hub,https://www.crowdfunder.co.uk/localfox,Community,17480.76923076923,18180,104.0,True
108,Bristol Cloth,https://www.crowdfunder.co.uk/bristol-cloth-1,Community,7010.077519379845,18086,258.0,True
109,Wheal Jane  Cycle Racing Circuit,https://www.crowdfunder.co.uk/whealjanecycleracingcircuit,Community,10022.598870056498,17740,177.0,True
110,Sutton Community Farm: VegBag Scheme,https://www.crowdfunder.co.uk/suttoncommunityfarm,Community,15063.157894736842,17172,114.0,True
111,The REfUSE Cafe and Van,https://www.crowdfunder.co.uk/refuse-cafe,Community,14986.842105263158,17085,114.0,True
112,#ToyLikeMe - celebrating disability in toys!,https://www.crowdfunder.co.uk/toylikeme-celebrating-disability-in-toys,Community,15929.906542056073,17045,107.0,True
113,#ChildPovertyPlymouth Project,https://www.crowdfunder.co.uk/plymouth-child-poverty,Community,10020.588235294117,17035,170.0,True
114,GO! Palace Theatre Plymouth: Let there be light,https://www.crowdfunder.co.uk/gopalaceplymouth,Community,14936.283185840708,16878,113.0,True
115,The Jam Jar,https://www.crowdfunder.co.uk/the-jam-jar,Community,20027.710843373494,16623,83.0,False
116,Help us rebuild Good Hope Café,https://www.crowdfunder.co.uk/good-hope-cafe,Community,15059.09090909091,16565,110.0,True
117,Sailing Tectona - New Generator and Oven,https://www.crowdfunder.co.uk/essential-update-of-the-oven-and-electrical-system,Community,12003.649635036498,16445,137.0,True
118,Moyses Mission.,https://www.crowdfunder.co.uk/moyses-mission,Community,1.0,16440,1644000.0,True
119,Preventing Podo,https://www.crowdfunder.co.uk/preventingpodo,Community,16002.94117647059,16323,102.0,True
120,Rebuild the Bike Station after the fire,https://www.crowdfunder.co.uk/surviving-after-fire,Community,10006.134969325152,16310,163.0,True
121,The Canteens project,https://www.crowdfunder.co.uk/the-canteens-project,Community,15980.392156862747,16300,102.0,True
122,Bristol Grand Prix Cycle Race - Sat 20 June 2015,https://www.crowdfunder.co.uk/bristol-grand-prix-cycle-race,Community,7989.7058823529405,16299,204.0,True
123,The Cookie Bar Bus,https://www.crowdfunder.co.uk/cookie-bar-bus,Community,15009.259259259257,16210,108.0,True
124,The Pup-mobile Appeal,https://www.crowdfunder.co.uk/The-pup-mobile-appeal,Community,14958.333333333334,16155,108.0,True
125,Pregnant Then Screwed,https://www.crowdfunder.co.uk/pregnantthenscrewed,Community,12014.925373134329,16100,134.0,True
126,The Real Junk Food Project Brighton,https://www.crowdfunder.co.uk/real-junk-food-project-brighton,Community,14985.981308411214,16035,107.0,True
127,Priest house given to the people,https://www.crowdfunder.co.uk/safegorton,Community,15042.45283018868,15945,106.0,True
128,london straw build,https://www.crowdfunder.co.uk/london-straw-build-1,Community,3200.8113590263692,15780,493.0,True
129,Fund Fossil Free,https://www.crowdfunder.co.uk/fund-fossil-free,Community,15006.730769230768,15607,104.0,True
130,Coalporters Northam Bridge Archway Development,https://www.crowdfunder.co.uk/coalporters-northam-bridge-archway-development,Community,5003.548387096775,15511,310.0,True
131,Help for a friend in need,https://www.crowdfunder.co.uk/help-for-a-friend-in-need,Community,103086.66666666666,15463,15.0,False
132,A Little Bit of Stone,https://www.crowdfunder.co.uk/alittlebitofstone,Community,14932.038834951456,15380,103.0,True
133,Safe And The City,https://www.crowdfunder.co.uk/safeandthecity,Community,15049.019607843138,15350,102.0,True
134,Outdoor Learning through Greenwood Construction,https://www.crowdfunder.co.uk/outdoor-learning-through-green-wood-construction,Community,14072.477064220184,15339,109.0,True
135,Save the Common House,https://www.crowdfunder.co.uk/savethecommonhouse,Community,15000.0,15300,102.0,True
136,Springboard Youth Academy,https://www.crowdfunder.co.uk/springboard-youth-academy,Community,9967.320261437908,15250,153.0,True
137,Fat Macy's: our new Peckham home,https://www.crowdfunder.co.uk/fat-macys,Community,15065.346534653467,15216,101.0,True
138,Matthew James Memorial Fund,https://www.crowdfunder.co.uk/matthew-james-memorial-fund-1,Community,9986.842105263158,15180,152.0,True
139,Brighton5 - giving teenagers a voice,https://www.crowdfunder.co.uk/brighton5,Community,15020.792079207922,15171,101.0,True
140,The Hayling Ferry Trust,https://www.crowdfunder.co.uk/haylingferry,Community,15004.950495049505,15155,101.0,True
141,Help Barnsley Youth Choir get to the Fringe,https://www.crowdfunder.co.uk/help-barnsley-youth-choir-get-to-the-fringe,Community,9008.92857142857,15135,168.0,True
142,Hyde United FC Community Project Fund,https://www.crowdfunder.co.uk/win-a-holiday-at-hotel-can-mostatxins,Community,14980.198019801981,15130,101.0,True
143,FABULOUS FAIRWAYS,https://www.crowdfunder.co.uk/fabulous-fairways,Community,14976.237623762376,15126,101.0,True
144,www.HomelessRoomsBirmingham.co.uk,https://www.crowdfunder.co.uk/www-homelessroomsbirmingham-co-uk,Community,10013.245033112582,15120,151.0,True
145,Legal Appeal- Community Benefits and Planning,https://www.crowdfunder.co.uk/appeal-re-community-benefits-in-planning-decisions,Community,9996.688741721855,15095,151.0,True
146,Yonder Meadow,https://www.crowdfunder.co.uk/yonder-meadow,Community,15040.0,15040,100.0,True
147,new lorry for small sole trader,https://www.crowdfunder.co.uk/new-lorry-for-small-sole-trader,Community,10000.0,15000,150.0,True
148,Arbroath's Festival of Heroes,https://www.crowdfunder.co.uk/arbroathsfestivalofheroes,Community,9996.575342465754,14595,146.0,True
149,Transgender Trend Schools Resource Pack,https://www.crowdfunder.co.uk/transgender-trend-school-resources,Community,9985.616438356165,14579,146.0,True
150,Shetland Webcams,https://www.crowdfunder.co.uk/shetland-webcams,Community,9751.700680272108,14335,147.0,True
151,Jingle Wells -Turn Beer into Water this Christmas!,https://www.crowdfunder.co.uk/brewgooder,Community,12023.728813559323,14188,118.0,True
152,Mini for Heroes - Corgi Replica,https://www.crowdfunder.co.uk/mini-for-heroes-corgi-replica,Community,13744.660194174756,14157,103.0,True
153,"Be Part of Piping History, Highland Bagpipe Centre",https://www.crowdfunder.co.uk/highland-bagpipe-centre,Community,45516.12903225807,14110,31.0,False
154,ASN: the Next Level,https://www.crowdfunder.co.uk/asn-the-next-level,Community,2847.5708502024295,14067,494.0,True
155,COMMUNITY FARM CAFE & MEETING PLACE,https://www.crowdfunder.co.uk/community-farm-cafe-meeting-place,Community,19935.714285714286,13955,70.0,False
156,Nepal Earthquake 2015:Kakani - One house at a time,https://www.crowdfunder.co.uk/nepal-earthquake-2015kakani-one-house-at-a-time,Community,5005.776173285199,13866,277.0,True
157,Let There Be Light!,https://www.crowdfunder.co.uk/let-there-be-light,Community,9822.695035460993,13850,141.0,True
158,Somerford Youth and Community Centre,https://www.crowdfunder.co.uk/somerford-youth-and-community-centre,Community,9977.94117647059,13570,136.0,True
159,Yarcombe Inn  East Devon Community Project,https://www.crowdfunder.co.uk/yarcombe-inn-east-devon-community-project,Community,270440.0,13522,5.0,False
160,Community Energy Fighting High Court Challenge,https://www.crowdfunder.co.uk/high-court-challenge-to-aims-of-community-energy,Community,12546.728971962617,13425,107.0,True
161,Jailian Kaipeng Appeal,https://www.crowdfunder.co.uk/jailian-kaipeng-appeal,Community,7003.157894736842,13306,190.0,True
162,Justice For Yameen,https://www.crowdfunder.co.uk/justice-for-yameen,Community,40309.090909090904,13302,33.0,False
163,Crowdfunder Stories - My Journey,https://www.crowdfunder.co.uk/crowdfunder-stories,Community,12002.727272727274,13203,110.0,True
164,The Ark T Centre's future,https://www.crowdfunder.co.uk/the-ark-t-centres-future,Community,9973.484848484848,13165,132.0,True
165,Power to Ollerton,https://www.crowdfunder.co.uk/power-to-ollerton,Community,500.0,13030,2606.0,True
166,#SaveSilverBullet,https://www.crowdfunder.co.uk/save-silver-bullet,Community,58863.63636363636,12950,22.0,False
167,Roll for the Soul: a community bike cafe for Bristol,https://www.crowdfunder.co.uk/roll_for_the_soul_a_community_bike_cafe_for_bristol,Community,11960.185185185184,12917,108.0,True
168,Thornham Village Hall and Playing Field,https://www.crowdfunder.co.uk/thornham-village-hall-and-playing-field,Community,16993.333333333332,12745,75.0,False
169,The Bounty Project,https://www.crowdfunder.co.uk/the-bounty-project,Community,10023.622047244095,12730,127.0,True
170,Mahendra Ahirwar 'cursed' with no neck muscles,https://www.crowdfunder.co.uk/mahendraahirwar,Community,9981.102362204725,12676,127.0,True
171,Support Alex Salmond to win Gordon GE 2015,https://www.crowdfunder.co.uk/support-alex-salmond-to-win-gordon-ge-2015,Community,9960.629921259842,12650,127.0,True
172,DORSET ABILITIES GROUP - SATURDAY YOUTH PROJECT,https://www.crowdfunder.co.uk/dorset-abilities-group---saturday-youth-project,Community,10023.809523809525,12630,126.0,True
173,55th Ayrshire (Dalry) Scout Group,https://www.crowdfunder.co.uk/55th-ayrshire-dalry-scout-group,Community,5000.0,12600,252.0,True
174,"""What If"" Cinema Advertisement",https://www.crowdfunder.co.uk/whatifadvert,Community,11964.761904761905,12563,105.0,True
175,Yoga for Refugees,https://www.crowdfunder.co.uk/yoga-for-refugees,Community,7189.6551724137935,12510,174.0,True
176,Rolfington Rescue needs you...,https://www.crowdfunder.co.uk/Rolfington-Rescue-Wellbeing-Centre,Community,12009.615384615385,12490,104.0,True
177,Transgender Youth Camping Trip 2016,https://www.crowdfunder.co.uk/trans-youth-camping-trip-2016,Community,12041.747572815533,12403,103.0,True
178,Community funding for Western Undercliff beach,https://www.crowdfunder.co.uk/community-funding-for-western-undercliff-beach,Community,5985.436893203884,12330,206.0,True
179,Tuk In,https://www.crowdfunder.co.uk/tuk-in,Community,11957.28155339806,12316,103.0,True
180,Send Jason to Germany,https://www.crowdfunder.co.uk/send-jason-to-germany,Community,7539.877300613497,12290,163.0,True
181,Help Build Oxford City Farm,https://www.crowdfunder.co.uk/help-build-oxford-city-farm,Community,12045.098039215687,12286,102.0,True
182,"School in a Bag, driven by you!",https://www.crowdfunder.co.uk/school-in-a-bag-driven-by-you,Community,4991.393442622951,12179,244.0,True
183,The National Youth Choir of Kenya,https://www.crowdfunder.co.uk/the-national-youth-choir-of-kenya,Community,9958.677685950413,12050,121.0,True
184,I am F.O.C.U.S.Ed - Youth Fitness Mentoring Prog.,https://www.crowdfunder.co.uk/youthfitnessmentoring,Community,12000.0,12000,100.0,True
185,Welcome Wheels: bikes for refugees in Norwich,https://www.crowdfunder.co.uk/welcome-wheels-bikes-for-refugees-norwich,Community,8500.0,11730,138.0,True
186,People's Parlour,https://www.crowdfunder.co.uk/peoples-parlour,Community,11943.877551020409,11705,98.0,False
187,RIP Kato Ottio,https://www.crowdfunder.co.uk/rip-kato-ottio,Community,4993.449781659389,11435,229.0,True
188,City Reuse Depot,https://www.crowdfunder.co.uk/city-reuse-depot,Community,10029.20353982301,11333,113.0,True
189,SurfHouse St Ives,https://www.crowdfunder.co.uk/surfhousestives,Community,10008.849557522124,11310,113.0,True
190,The Holsworthy Sports Pavilion Project,https://www.crowdfunder.co.uk/the-holsworthy-sports-pavilion-project,Community,4989.380530973451,11276,226.0,True
191,10 Years of Queer: Support The Marlborough,https://www.crowdfunder.co.uk/10-years-of-queer,Community,10007.142857142857,11208,112.0,True
192,Pathway to Change,https://www.crowdfunder.co.uk/pathway-to-change,Community,15041.89189189189,11131,74.0,False
193,Learn for Life Enterprise,https://www.crowdfunder.co.uk/learn-for-life-enterprise,Community,11954.838709677419,11118,93.0,False
194,Borrow Don't Buy!,https://www.crowdfunder.co.uk/borrowdontbuy,Community,7406.0,11109,150.0,True
195,AUOB 2019 National Tour Fundraiser,https://www.crowdfunder.co.uk/auob-2019-national-tour-fundraiser,Community,20045.454545454548,11025,55.0,False
196,The Happy Pig,https://www.crowdfunder.co.uk/thehappypig,Community,9465.517241379312,10980,116.0,True
197,"Tchai-Ovna, Glasgow",https://www.crowdfunder.co.uk/tchai-ovnaglasgow,Community,10033.944954128441,10937,109.0,True
198,Keep Breathing - Short Film,https://www.crowdfunder.co.uk/kbshortfilm,Community,10027.522935779816,10930,109.0,True
199,Welcoming Every Voice,https://www.crowdfunder.co.uk/welcoming-every-voice,Community,13987.179487179486,10910,78.0,False
200,ToastLoveCoffee Community Cafe,https://www.crowdfunder.co.uk/toastlovecoffee-community-cafe,Community,10007.339449541285,10908,109.0,True
201,#HandsOffMyRights,https://www.crowdfunder.co.uk/handsoffmyrights,Community,10013.888888888889,10815,108.0,True
202,SAVE DALRIADA GAELIC,https://www.crowdfunder.co.uk/dalriadagaelic,Community,10012.962962962964,10814,108.0,True
203,Devon Greater Horseshoe Bats,https://www.crowdfunder.co.uk/devon-greater-horseshoe-bats,Community,8000.0,10800,135.0,True
204,Mental Health Awareness Workshops in Schools,https://www.crowdfunder.co.uk/mental-health-in-schools,Community,10000.0,10800,108.0,True
205,The PEaT Project,https://www.crowdfunder.co.uk/peatproject,Community,9990.74074074074,10790,108.0,True
206,Seeking justice and support for Sukhiya's family,https://www.crowdfunder.co.uk/forsukhiya,Community,9962.962962962964,10760,108.0,True
207,#HotspursBigMove,https://www.crowdfunder.co.uk/hotspursbigmove-1,Community,7506.993006993007,10735,143.0,True
208,The Last Song of the Nightingale,https://www.crowdfunder.co.uk/the-last-song-of-the-nightingale,Community,10018.691588785046,10720,107.0,True
209,Union Corner - an exciting new community hub,https://www.crowdfunder.co.uk/unioncorner,Community,10003.73831775701,10704,107.0,True
210,Raise the Roof,https://www.crowdfunder.co.uk/raise-the-roof-10,Community,10018.867924528302,10620,106.0,True
211,The Hackney Christmas Dinner 2014,https://www.crowdfunder.co.uk/the-christmas-dinner-hackney-2014,Community,5005.66037735849,10612,212.0,True
212,Culturally Sensitive Dementia Support Campaign,https://www.crowdfunder.co.uk/culturally-sesnsitive-dementia-support-campaign,Community,10009.433962264151,10610,106.0,True
213,GRASSROOTS CARDIFF YOUTH PROJECT NEEDS YOU!,https://www.crowdfunder.co.uk/grassrootscf10,Community,10000.0,10600,106.0,True
214,Help Secure Frank Wang's Future in Bethnal Green,https://www.crowdfunder.co.uk/help-secure-franks-future,Community,9775.925925925925,10558,108.0,True
215,The Huers Hut,https://www.crowdfunder.co.uk/The-Huers-Hut,Community,10037.142857142857,10539,105.0,True
216,Stockport Georgians AFC - Football Club Room,https://www.crowdfunder.co.uk/stockport-georgians-afc-football-club-house,Community,10014.285714285714,10515,105.0,True
217,Keats Community Organics,https://www.crowdfunder.co.uk/keatscommunityorganics,Community,10000.0,10500,105.0,True
218,Help Louise Bosley fight Cancer,https://www.crowdfunder.co.uk/help-louise-bosley-fight-cancer,Community,9980.952380952382,10480,105.0,True
